State,Action,Value
"((0, 0, 0), (1, 0, -1), (0, 1, 0))","(0, 0)",0.12509560874966236
"((-1, -1, 1), (1, -1, 1), (0, 0, 0))","(2, 2)",0.5217031000000001
"((0, -1, 1), (0, -1, 1), (0, 0, 0))","(1, 0)",-0.48562443118208615
"((0, -1, 1), (0, 0, 0), (0, 0, 0))","(1, 2)",0.41993001649065315
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(0, 2)",0.3281124257500113
"((0, -1, 1), (1, -1, 1), (0, 0, 0))","(0, 0)",-0.271
"((0, -1, 1), (0, 0, 1), (0, 0, 0))","(1, 1)",-0.09270816078029621
"((0, 0, 1), (0, 0, 0), (0, 0, 0))","(0, 1)",0.22530466284638306
"((-1, -1, 0), (0, 1, -1), (1, 1, 0))","(0, 2)",0.68618940391
"((0, -1, 0), (0, 1, -1), (0, 1, 0))","(2, 0)",0.42500768693843266
"((0, -1, 0), (0, 0, 0), (0, 1, 0))","(1, 1)",0.2696188745201116
"((0, -1, 0), (0, 1, -1), (1, 1, 0))","(0, 0)",-0.34445287579764994
"((0, -1, 0), (0, 1, 0), (0, 1, 0))","(1, 2)",-0.0035486860320269355
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(0, 1)",0.35631494209347886
"((-1, 0, -1), (1, 0, 1), (0, 1, -1))","(1, 1)",0.19
"((-1, 0, 0), (1, 0, 0), (0, 1, -1))","(1, 2)",0.04634100000000001
"((-1, 0, 0), (1, 0, 0), (0, 0, 0))","(2, 1)",0.15386825523764025
"((-1, 0, 0), (1, 0, 1), (0, 1, -1))","(0, 2)",-0.0729
"((-1, 0, 0), (1, 0, 0), (0, 1, 0))","(2, 2)",0.0022680260310510066
"((1, 0, -1), (1, 1, -1), (0, -1, 0))","(2, 0)",0.271
"((1, 0, -1), (0, 1, 0), (0, -1, 0))","(1, 0)",0.23322346256871007
"((0, 0, -1), (0, 1, 0), (0, 0, 0))","(0, 0)",0.4259801382361544
"((1, 0, -1), (1, 1, 0), (0, -1, 0))","(1, 2)",-0.271
"((1, 0, -1), (0, 1, 0), (0, 0, 0))","(2, 1)",-0.825634382594808
