State,Action,Value
"((0, 0, 1), (0, 0, 0), (1, -1, -1))","(1, 2)",0.017829000000000005
"((0, 0, 0), (0, 0, 0), (1, -1, 0))","(0, 2)",0.3144186808043759
"((1, 0, 1), (-1, 0, 1), (1, -1, -1))","(1, 1)",-0.271
"((0, 0, 1), (0, 0, 1), (1, -1, -1))","(1, 0)",0.0
"((0, 0, 1), (0, 0, 0), (1, -1, 0))","(2, 2)",0.0029970000000000005
"((-1, 1, -1), (0, 1, 0), (1, 0, -1))","(2, 1)",0.9866972053527088
"((-1, 1, 0), (0, 1, 0), (0, 0, -1))","(2, 0)",0.017100000000000004
"((0, 1, 0), (0, 0, 0), (0, 0, -1))","(1, 1)",0.07074845192968172
"((-1, 1, 0), (0, 1, 0), (1, 0, -1))","(0, 2)",-0.3175831
"((0, 1, 0), (0, 1, 0), (0, 0, -1))","(0, 0)",-0.17961490000000002
"((-1, -1, 0), (1, 0, 0), (-1, 1, 1))","(1, 2)",-0.1
"((-1, 0, 0), (1, 0, 0), (-1, 1, 0))","(2, 2)",0.004225795110000002
"((0, 0, 0), (1, 0, 0), (-1, 0, 0))","(2, 1)",0.005741413114564892
"((-1, -1, 0), (1, 0, 1), (-1, 1, 1))","(0, 2)",0.40951000000000004
"((-1, 0, 0), (1, 0, 0), (-1, 1, 1))","(0, 1)",0.009000000000000001
"((0, 0, 0), (1, 0, 0), (-1, 1, 0))","(0, 0)",0.0035802000000000013
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(2, 0)",0.04026276818154946
"((0, 0, -1), (0, 0, 0), (1, 1, -1))","(0, 0)",-0.35954661276637523
"((0, 0, -1), (0, 0, 0), (1, 0, 0))","(2, 1)",0.019497570949148987
"((1, 0, -1), (0, 0, 0), (1, 1, -1))","(1, 2)",0.7712320754503901
"((0, 0, -1), (0, 0, 0), (1, 1, 0))","(2, 2)",0.6783594845390728
"((-1, 0, 0), (-1, 0, 0), (0, 1, 1))","(0, 1)",-0.19
"((-1, 0, 0), (0, 0, 0), (0, 0, 1))","(2, 1)",0.08089374081847536
